global_step,episode,episode_return,episode_length,epsilon,loss,mean_q,makespan,avg_waiting_time,missed_deadlines,weighted_tardiness
50,0,-2.84151,50,0.9998,,,67.725,7.76,0.56,276.98
100,1,-1.58255,50,0.9997,,,81.274,4.594,0.34,160.43
150,2,-0.93901,50,0.9995,,,66.691,3.9334,0.38,77.85
200,3,-1.30357,50,0.9994,,,72.452,5.0535,0.44,104.12
250,4,-1.45734,50,0.9992,,,69.366,5.3079,0.46,125.52
300,5,-1.99529,50,0.999,,,67.938,5.3511,0.5,199.71
350,6,-1.70883,50,0.9989,,,71.01,5.7993,0.5,147.32
400,7,-2.88065,50,0.9987,,,75.743,7.3174,0.54,279.01
450,8,-0.41008,50,0.9986,,,63.473,2.8478,0.34,26.57
500,9,-2.38975,50,0.9984,,,76.444,7.2392,0.6,215.11
550,10,-2.19948,50,0.9983,,,72.8,6.6266,0.52,197.99
600,11,-3.16805,50,0.9981,,,71.315,8.5349,0.56,298.87
650,12,-2.96206,50,0.9979,,,67.643,7.7418,0.6,292.32
700,13,-1.97473,50,0.9978,,,61.004,5.7172,0.48,191.29
750,14,-3.25181,50,0.9976,,,66.087,8.1397,0.6,332.4
800,15,-2.23538,50,0.9975,,,62.948,6.2259,0.56,222.84
850,16,-2.75231,50,0.9973,,,76.408,7.9871,0.66,258.42
900,17,-2.03643,50,0.9971,,,67.392,5.4943,0.5,209.76
950,18,-1.55022,50,0.997,,,66.388,5.2737,0.48,141.77
1000,19,-1.5113,50,0.9968,,,70.777,5.1385,0.5,135.29
1050,20,-1.73555,50,0.9967,,,66.71,5.4534,0.48,160.56
1100,21,-1.96673,50,0.9965,,,61.86,6.1061,0.5,184.93
1150,22,-1.55301,50,0.9964,,,70.309,4.9655,0.4,145.7
1200,23,-2.34837,50,0.9962,,,75.682,6.0489,0.38,231.97
1250,24,-3.23915,50,0.996,,,76.72,9.3063,0.54,286.44
1300,25,-0.13569,50,0.9959,,,58.435,1.3787,0.22,24.53
1350,26,-1.5452,50,0.9957,,,67.111,5.352,0.64,130.07
1400,27,-3.76381,50,0.9956,,,81.21,8.5183,0.52,387.03
1450,28,-2.87008,50,0.9954,,,63.732,7.1165,0.64,299.96
1500,29,-1.83826,50,0.9952,,,71.191,5.4213,0.44,166.93
1550,30,-4.62733,50,0.9951,,,77.227,10.7202,0.64,458.13
1600,31,-2.56505,50,0.9949,,,70.566,6.9026,0.44,243.7
1650,32,-2.43648,50,0.9948,,,73.698,6.9245,0.58,224.94
1700,33,-0.9301,50,0.9946,,,68.058,3.7903,0.46,77.09
1750,34,-0.21386,50,0.9945,,,69.873,1.503,0.16,28.02
1800,35,-1.46189,50,0.9943,,,70.949,4.7321,0.44,132.92
